04/13/2014 (22:35:11) -    INFO - Loading plugins...
04/14/2014 (02:35:25) -    INFO - [&4Person&a] masterofpower: Bubbleman, Quickman, Airman, Metalman, Flashman
04/14/2014 (02:35:26) -    INFO - <Hetal> ane200055
04/14/2014 (02:35:36) -    INFO - [&4Person&a] masterofpower: Crashman, Woodman, Heatman
04/14/2014 (02:35:55) -    INFO - World 'default' has been saved.
04/14/2014 (02:35:58) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/16903b2965a1dc37615c61eacbd839a3/
04/14/2014 (02:35:58) -    INFO - There are 1 users on the server
04/14/2014 (02:35:58) -    INFO - default: masterofpower
04/14/2014 (02:36:30) -    INFO - [&4Person&a] masterofpower: Cough Cough conkersbadfurday Cough Cough
04/14/2014 (02:36:55) -    INFO - World 'default' has been saved.
04/14/2014 (02:36:59) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/16903b2965a1dc37615c61eacbd839a3/
04/14/2014 (02:36:59) -    INFO - There are 1 users on the server
04/14/2014 (02:36:59) -    INFO - default: masterofpower
04/14/2014 (02:37:40) -    INFO - <Hetal> lol
04/14/2014 (02:37:55) -    INFO - World 'default' has been saved.
04/14/2014 (02:37:59) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/16903b2965a1dc37615c61eacbd839a3/
04/14/2014 (02:37:59) -    INFO - There are 1 users on the server
04/14/2014 (02:37:59) -    INFO - default: masterofpower
04/14/2014 (02:38:55) -    INFO - 2945 garbage objects collected, 0 were uncollected.
04/14/2014 (02:38:55) -    INFO - World 'default' has been saved.
04/14/2014 (02:38:59) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/16903b2965a1dc37615c61eacbd839a3/
04/14/2014 (02:38:59) -    INFO - There are 1 users on the server
04/14/2014 (02:38:59) -    INFO - default: masterofpower
04/14/2014 (02:39:55) -    INFO - World 'default' has been saved.
04/14/2014 (02:39:59) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/16903b2965a1dc37615c61eacbd839a3/
04/14/2014 (02:39:59) -    INFO - There are 1 users on the server
04/14/2014 (02:39:59) -    INFO - default: masterofpower
04/14/2014 (02:40:55) -    INFO - World 'default' has been saved.
04/14/2014 (02:40:59) -    INFO - Heartbeat Sent. Your URL (saved to docs/SERVERURL): http://www.classicube.net/server/play/16903b2965a1dc37615c61eacbd839a3/
04/14/2014 (02:40:59) -    INFO - There are 1 users on the server
04/14/2014 (02:40:59) -    INFO - default: masterofpower
